model,rep,n_train_samples,n_estimators,max_features,splitter,bootstrap,max_depth,n_jobs,train_01_error,test_01_error,irm_l2,activated_regions,regions_l2,n_total_leaves
forest,2,4096,3,1,random,False,20,-1,0.011962890625,0.3183,135.71538846669773,3738,71.31619731870171,5464
forest,2,4096,3,1,random,False,None,-1,0.0,0.32620000000000005,96.69999425485447,3785,71.03520254071215,7539
forest,2,4096,4,1,random,False,2,-1,0.49609375,0.5136000000000001,3041.335911240312,21,2030.4615238905667,15
forest,2,4096,4,1,random,False,3,-1,0.442626953125,0.45330000000000004,2887.254816430296,35,1883.5477164117744,29
forest,2,4096,4,1,random,False,4,-1,0.341552734375,0.35,1683.1648760593837,108,882.4318670583016,52
forest,2,4096,4,1,random,False,6,-1,0.30615234375,0.31810000000000005,1628.6786054958786,203,756.889688131633,121
forest,2,4096,4,1,random,False,8,-1,0.263671875,0.29190000000000005,879.8890555064322,1009,359.3772391234593,497
forest,2,4096,4,1,random,False,10,-1,0.228759765625,0.279,521.1531684639364,1848,162.4992307674102,922
forest,2,4096,4,1,random,False,15,-1,0.1259765625,0.29500000000000004,221.92425509619267,3328,80.91971329657562,3624
forest,2,4096,4,1,random,False,20,-1,0.014404296875,0.31999999999999995,112.70148623687264,3882,68.81860213634101,7786
forest,2,4096,4,1,random,False,None,-1,0.0,0.33430000000000004,89.7141293219747,3953,66.46803743153546,10138
forest,2,4096,5,1,random,False,2,-1,0.36328125,0.3758,3255.164290784749,25,1864.6812059974266,19
forest,2,4096,5,1,random,False,3,-1,0.41650390625,0.42469999999999997,2560.0191561783276,49,1418.5161260979726,30
forest,2,4096,5,1,random,False,4,-1,0.3271484375,0.33830000000000005,1716.9177732203714,223,721.0256583506584,71
forest,2,4096,5,1,random,False,6,-1,0.2802734375,0.29579999999999995,1558.3924024455482,310,644.8364133638854,142
forest,2,4096,5,1,random,False,8,-1,0.26904296875,0.28769999999999996,929.4219278669947,826,314.8682264059046,400
forest,2,4096,5,1,random,False,10,-1,0.233642578125,0.2761,626.2664608615094,1889,163.92071254115515,1128
forest,2,4096,5,1,random,False,15,-1,0.1025390625,0.3065,319.00231974078207,3682,72.41546796092668,4462
forest,2,4096,5,1,random,False,20,-1,0.005126953125,0.3124,111.71105585393066,3962,67.51296171847298,9823
forest,2,4096,5,1,random,False,None,-1,0.0,0.3166,89.8598909413983,4004,65.89385403814228,12699
forest,2,4096,10,1,random,False,2,-1,0.45947265625,0.48119999999999996,2740.737973612215,92,856.8838894506071,38
forest,2,4096,10,1,random,False,3,-1,0.3369140625,0.35719999999999996,1970.4102516988685,299,477.24417230595895,71
forest,2,4096,10,1,random,False,4,-1,0.32275390625,0.33020000000000005,2167.185382010501,316,613.5878095268843,123
forest,2,4096,10,1,random,False,6,-1,0.2802734375,0.3026,1440.84550872049,753,319.0015673942685,267
forest,2,4096,10,1,random,False,8,-1,0.247314453125,0.27370000000000005,746.3606366897975,2218,125.04399225872486,890
forest,2,4096,10,1,random,False,10,-1,0.234375,0.2723,621.1158346073626,2937,94.51983918733673,1792
forest,2,4096,10,1,random,False,15,-1,0.102294921875,0.2853,190.38135412902182,4020,65.23802572120036,9051
forest,2,4096,10,1,random,False,20,-1,0.00048828125,0.30189999999999995,97.26253132630262,4069,64.45153217728807,20578
forest,2,4096,10,1,random,False,None,-1,0.0,0.3154,84.86129859953826,4073,64.37390775772433,25361
forest,2,4096,20,1,random,False,2,-1,0.4345703125,0.45730000000000004,2888.725198941565,161,804.5644784602418,76
forest,2,4096,20,1,random,False,3,-1,0.325927734375,0.3399,2295.1508643224306,594,366.24035823486184,144
forest,2,4096,20,1,random,False,4,-1,0.256103515625,0.27449999999999997,1906.4832073742475,1032,225.7919396258423,248
forest,2,4096,20,1,random,False,6,-1,0.253662109375,0.27649999999999997,1207.5822125221957,2347,110.63453348751483,716
forest,2,4096,20,1,random,False,8,-1,0.246826171875,0.28090000000000004,861.3580701427252,2959,94.44575162494078,1814
forest,2,4096,20,1,random,False,10,-1,0.226806640625,0.2704,533.3010688157296,3783,69.39740629158987,3845
forest,2,4096,20,1,random,False,15,-1,0.08056640625,0.2774,162.47128977145465,4086,64.15605972938177,19940
forest,2,4096,20,1,random,False,20,-1,0.000244140625,0.2985,94.06104400866494,4090,64.09368143584827,39030
forest,2,4096,20,1,random,False,None,-1,0.0,0.30879999999999996,83.0368893926067,4091,64.07807737440318,50365
forest,3,4096,1,1,random,False,2,-1,0.47900390625,0.48939999999999995,2712.3381057677952,4,2712.3381057677952,4
forest,3,4096,1,1,random,False,3,-1,0.3623046875,0.35519999999999996,2084.0959670802094,8,2084.0959670802094,8
forest,3,4096,1,1,random,False,4,-1,0.362060546875,0.36319999999999997,2128.4858467934414,12,2128.4858467934414,12
forest,3,4096,1,1,random,False,6,-1,0.298828125,0.30900000000000005,1538.1846443128995,30,1538.1846443128995,30
forest,3,4096,1,1,random,False,8,-1,0.30810546875,0.31720000000000004,901.2269414525957,100,901.2269414525957,100
forest,3,4096,1,1,random,False,10,-1,0.260986328125,0.3077,597.1884124796793,306,597.1884124796793,306
forest,3,4096,1,1,random,False,15,-1,0.2392578125,0.32530000000000003,628.7050182716854,667,628.7050182716854,667
forest,3,4096,1,1,random,False,20,-1,0.07470703125,0.3449,188.32418856854275,1970,188.32418856854275,1970
forest,3,4096,1,1,random,False,None,-1,0.0,0.35640000000000005,129.08136968594656,2437,129.08136968594656,2437
forest,3,4096,2,1,random,False,2,-1,0.48095703125,0.4849,3144.2221613620027,8,2776.8712609697877,8
forest,3,4096,2,1,random,False,3,-1,0.482421875,0.4899,2714.050478528358,12,2305.7293856825427,12
forest,3,4096,2,1,random,False,4,-1,0.45361328125,0.4558,2427.582748332174,29,2115.583607423728,24
forest,3,4096,2,1,random,False,6,-1,0.322021484375,0.3296,1296.6570479506133,101,920.108689231876,63
forest,3,4096,2,1,random,False,8,-1,0.27880859375,0.29190000000000005,881.5066647507549,306,576.3922275673051,203
forest,3,4096,2,1,random,False,10,-1,0.26904296875,0.3084,792.9202355848914,595,467.44197500866346,392
forest,3,4096,2,1,random,False,15,-1,0.134033203125,0.3153,232.98819712594886,2247,134.46189051177305,1878
forest,3,4096,2,1,random,False,20,-1,0.015380859375,0.346,136.26995266749012,3249,90.01111042532469,3828
forest,3,4096,2,1,random,False,None,-1,0.0,0.354,102.80564186852784,3483,80.7093550959243,4991
forest,3,4096,3,1,random,False,2,-1,0.48095703125,0.5025999999999999,2967.5816566505637,15,2260.2491013160484,12
forest,3,4096,3,1,random,False,3,-1,0.315673828125,0.3114,2174.0409379770267,43,1214.1136684841335,20
forest,3,4096,3,1,random,False,4,-1,0.39990234375,0.4133,2458.276993704683,67,1414.6667452089202,38
forest,3,4096,3,1,random,False,6,-1,0.3173828125,0.3245,1901.7262917909297,158,1076.7961738416423,92
forest,3,4096,3,1,random,False,8,-1,0.273193359375,0.30289999999999995,1075.3896451467663,394,522.2068555658763,229
forest,3,4096,3,1,random,False,10,-1,0.236328125,0.2863,624.8839892332011,1142,301.54933261408496,693
forest,3,4096,3,1,random,False,15,-1,0.127685546875,0.3083,255.1997039357391,2842,97.90812019439453,2696
forest,3,4096,3,1,random,False,20,-1,0.001953125,0.33120000000000005,107.70123284139115,3757,71.06335201775946,6498
forest,3,4096,3,1,random,False,None,-1,0.0,0.3325,98.80283396745257,3785,71.31619731870173,7489
forest,3,4096,4,1,random,False,2,-1,0.501708984375,0.508,3239.2858780910365,18,2581.6669033785115,15
forest,3,4096,4,1,random,False,3,-1,0.401123046875,0.4124,2862.4561350350914,34,1880.7695233600525,27
forest,3,4096,4,1,random,False,4,-1,0.4384765625,0.45420000000000005,2597.5252404933462,69,1440.3089946258056,44
forest,3,4096,4,1,random,False,6,-1,0.284423828125,0.28390000000000004,1273.024498978712,385,458.2684802602074,139
forest,3,4096,4,1,random,False,8,-1,0.2890625,0.3023,817.9144973650974,779,266.5145399410697,329
forest,3,4096,4,1,random,False,10,-1,0.2578125,0.28659999999999997,628.4872711519308,1494,192.51493448561334,763
forest,3,4096,4,1,random,False,15,-1,0.090576171875,0.29610000000000003,192.30217107458773,3564,74.8598690888516,4281
forest,3,4096,4,1,random,False,20,-1,0.00634765625,0.3255,112.5288851806504,3865,68.58571279792898,7746
forest,3,4096,4,1,random,False,None,-1,0.0,0.33299999999999996,91.50614733448239,3945,66.61831579978588,9985
